Strain,ST,ST_to_plot,CG_to_plot,carb_to_plot,Meropenem_MIC,ompK35_functionality,ompK36_functionality,Colistin_resistance,Col,Omp,Omp_simplified,Bla_carb,Bla_carb_simplified
EuSCAPE_BE013,ST15,ST15,CG14/15,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_BE026,ST15,ST15,CG14/15,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_BE075,ST15,ST15,CG14/15,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_TR107,ST15,ST15,CG14/15,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_TR157,ST15,ST15,CG14/15,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_TR019,ST15,ST15,CG14/15,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_TR175,ST15,ST15,CG14/15,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_PL020,ST152,ST152,CG152,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_PL051,ST152,ST152,CG152,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_BE059,ST152,ST152,CG152,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_PL047,ST152,ST152,CG152,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_PL053,ST152,ST152,CG152,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_RO072,ST1527,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_HR031,ST1535,other,other,-,0.25,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_IL035,ST1536,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_IT237,ST1536,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_ES230,ST1563,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_HR030,ST1574,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_UK002,ST1593,other,other,-,0.12,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_UK090,ST1593,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_FR012,ST16,ST16,CG17/20,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_ES246,ST16,ST16,CG17/20,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_TR159,ST160,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_IT141,ST1626,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_IT147,ST1626,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_IT346,ST1628,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_ES063,ST163,other,other,-,0.12,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_ES204,ST163,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_HR027,ST163,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_GR120,ST1630,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_TR271,ST1634,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_IL015,ST168,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_IL023,ST1681,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_TR190,ST17,ST17,CG17/20,-,0.25,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_EE018,ST17,ST17,CG17/20,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_CZ031,ST17,ST17,CG17/20,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_AT019,ST17,ST17,CG17/20,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_IL065,ST17,ST17,CG17/20,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_IT019,ST17,ST17,CG17/20,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_IT151,ST17,ST17,CG17/20,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_IT397,ST17,ST17,CG17/20,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_IT358,ST17,ST17,CG17/20,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_ES106,ST17,ST17,CG17/20,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_GR038,ST17,ST17,CG17/20,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_UK115,ST17,ST17,CG17/20,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_UK136,ST17,ST17,CG17/20,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_HR094,ST17,ST17,CG17/20,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_TR129,ST17,ST17,CG17/20,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_TR191,ST17,ST17,CG17/20,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_TR193,ST17,ST17,CG17/20,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_TR261,ST17,ST17,CG17/20,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_IT213,ST180,other,other,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_PL013,ST1801,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_ES124,ST1823,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
