"ST" "mean_vir" "mean_res" "total"
"679" "ST678" 0 1 2
"680" "ST679" 5 0 1
"681" "ST681" 0 0 11
"682" "ST681-2LV" 0 0 1
"683" "ST686" 1 1 2
"684" "ST690" 0 0 2
"685" "ST692" 0 0 1
"686" "ST695" 0 0 2
"687" "ST697" 0 0 1
"688" "ST697-1LV" 0 0 3
"689" "ST698-2LV" 0 0 1
"690" "ST70" 0.814814814814815 0.888888888888889 27
"691" "ST70-1LV" 0.5 0.5 2
"692" "ST70-2LV" 0 0 1
"693" "ST706-2LV" 1 1 1
"694" "ST709" 1 0 1
"695" "ST711" 0.2 1 5
"696" "ST716" 0.333333333333333 1 3
"697" "ST716-2LV" 0 0 1
"698" "ST719" 0 1.5 2
"699" "ST724-2LV" 1 0 1
"700" "ST753" 0 1 1
"701" "ST76" 0.125 0.375 8
"702" "ST76-1LV" 0 0.5 2
"703" "ST774" 0 0 1
"704" "ST776" 0 1 3
"705" "ST782-4LV" 1 1 1
"706" "ST784" 0 0 1
"707" "ST785" 1 0 2
"708" "ST788" 0 0 2
"709" "ST789" 0 1 4
"710" "ST790-3LV" 0 0 1
"711" "ST791-1LV" 1 1 1
"712" "ST792" 2 0 5
"713" "ST794-3LV" 0 0 1
"714" "ST8" 0 0 1
"715" "ST806-2LV" 1 0 1
"716" "ST815-1LV" 0 2 1
"717" "ST82" 1.95833333333333 0 24
"718" "ST82-1LV" 3 0 5
"719" "ST82-2LV" 0 0 1
"720" "ST82-3LV" 0 0 1
"721" "ST828" 4 0 2
"722" "ST828-1LV" 4 0 1
"723" "ST831" 0.75 0.25 4
"724" "ST831-1LV" 0 0 1
"725" "ST832-2LV" 0 0 1
"726" "ST833" 5 1 1
"727" "ST833-1LV" 0 1 1
"728" "ST834" 0 1 2
"729" "ST845-3LV" 0 0 2
"730" "ST846" 0 0 2
"731" "ST850-1LV" 0 0 1
"732" "ST855" 0 2 1
"733" "ST855-1LV" 1 3 1
"734" "ST857" 0 0 1
"735" "ST86" 3.12121212121212 0 33
"736" "ST86-1LV" 3 0 1
"737" "ST869" 0 1 1
"738" "ST870" 0 0 1
"739" "ST872" 0 0.5 2
"740" "ST873" 0 1 3
"741" "ST873-1LV" 0 1 1
"742" "ST873-2LV" 0 0 1
"743" "ST874" 0 0.848484848484849 33
"744" "ST874-1LV" 0.0555555555555556 0.888888888888889 18
"745" "ST881" 0 1 1
"746" "ST882" 1 1 2
"747" "ST883-1LV" 0 1 1
"748" "ST883-2LV" 0 0 2
"749" "ST889" 1 0 1
"750" "ST891-2LV" 0 0 1
"751" "ST895" 0 1 7
"752" "ST896" 0 0.666666666666667 3
"753" "ST90" 3 0 2
"754" "ST90-1LV" 3 0 1
"755" "ST904" 0 0.6 5
"756" "ST91" 3.71428571428571 0 7
"757" "ST91-1LV" 3.5 0 6
"758" "ST919" 0 0 1
"759" "ST925" 0 0.166666666666667 6
"760" "ST93" 4 0 3
"761" "ST940" 0 0 2
"762" "ST941" 0 2 1
"763" "ST950" 0 1 1
"764" "ST957-3LV" 0 0 1
"765" "ST964" 0 0 1
