Strain,ST,ST_to_plot,CG_to_plot,carb_to_plot,Meropenem_MIC,ompK35_functionality,ompK36_functionality,Colistin_resistance,Col,Omp,Bla_carb
EuSCAPE_PL037,ST11,ST11,CG258,-,0.06,Functional,Functional,Unknown,MgrB-53%,-,-
EuSCAPE_TR018,ST110,other,other,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_IL081,ST111,other,other,-,1,Functional,Non-functional,Sensitive,-,OmpK36-7%,-
EuSCAPE_DE026,ST111,other,other,-,4,Non-functional,Non-functional,Unknown,-,OmpK35-88%;OmpK36-65%,-
EuSCAPE_IL072,ST111,other,other,-,4,Functional,Non-functional,Sensitive,-,OmpK36-31%,-
EuSCAPE_IT197,ST111,other,other,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_GR118,ST111,other,other,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_AT015,ST111,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_TR210,ST111,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_EE022,ST113,other,other,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_PL035,ST113,other,other,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_BE046,ST1145,other,other,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_AT005,ST1148,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_TR042,ST1193,other,other,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_TR221,ST1193,other,other,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_AT020,ST12,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_TR254,ST1207,other,other,-,0.12,Functional,Functional,Unknown,-,-,-
EuSCAPE_GR111,ST1228,other,other,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_TR168,ST1228,other,other,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_IE018,ST1236,other,other,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_IE042,ST1236,other,other,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_AT010,ST1243,other,other,-,2,Functional,Non-functional,Sensitive,-,OmpK36-39%,-
EuSCAPE_LT008,ST1243,other,other,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_IT360,ST1250,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_IL001,ST1269,other,other,-,0.12,Functional,Functional,Unknown,-,-,-
EuSCAPE_UK023,ST13,ST13,other,-,0.12,Functional,Functional,Resistant,-,-,-
EuSCAPE_IL061,ST13,ST13,other,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_IL082,ST13,ST13,other,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_ES288,ST13,ST13,other,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_CY002,ST13,ST13,other,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_IL016,ST133,other,CG133,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_IT143,ST133,other,CG133,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_CZ012,ST1333,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_DE045,ST1333,other,other,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_FR066,ST134,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_ES281,ST134,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_FR021,ST138,other,other,-,0.06,Functional,Functional,Sensitive,-,-,-
