ST,category,value
ST512,food,0
ST15,food,0
ST11,food,0
ST258,food,0
ST661,unknown_other_source,0.03030303
ST65,unknown_other_source,0.085714286
ST111,unknown_other_source,0.027027027
ST392,unknown_other_source,0.216216216
ST39,unknown_other_source,0.184210526
ST336,unknown_other_source,0
ST13,unknown_other_source,0.075
ST874,unknown_other_source,0
ST3128,unknown_other_source,0
ST36,unknown_other_source,0.086956522
ST152,unknown_other_source,0.106382979
ST395,unknown_other_source,0.085106383
ST25,unknown_other_source,0
ST268,unknown_other_source,0.033333333
ST86,unknown_other_source,0.133333333
ST34,unknown_other_source,0.177419355
ST323,unknown_other_source,0.030769231
ST405,unknown_other_source,0.095890411
ST20,unknown_other_source,0.026315789
ST437,unknown_other_source,0
ST48,unknown_other_source,0.057471264
ST29,unknown_other_source,0.076086957
ST35,unknown_other_source,0.043478261
ST340,unknown_other_source,0.030612245
ST231,unknown_other_source,0.008928571
ST17,unknown_other_source,0.034722222
ST45,unknown_other_source,0.05952381
ST37,unknown_other_source,0.075581395
ST14,unknown_other_source,0.062146893
ST23,unknown_other_source,0.026595745
ST147,unknown_other_source,0.046808511
ST16,unknown_other_source,0.023715415
ST101,unknown_other_source,0.011673152
ST307,unknown_other_source,0.143968872
ST512,unknown_other_source,0.038147139
ST15,unknown_other_source,0.018518519
ST11,unknown_other_source,0.032188841
ST258,unknown_other_source,0.095387021
